first_word	n	median_within_consistency	dominant_quadrant	HP-D_n	HP-S_n	LP_n	NP_n	HN-D_n	HN-S_n	LN_n	NB_n	HB_n
(`⌒´)	7	0.9957546591758728	HP-S	0	6	0	0	0	0	0	0	1
(｡-ω｡)	3	0.991131067276001	HB	0	0	0	1	0	0	0	0	2
(T-T)	10	0.9904963374137878	LN	0	0	0	0	0	1	7	0	2
♥‿♥	9	0.9892998933792114	HP-S	0	8	0	1	0	0	0	0	0
♥♥♥	6	0.9868069291114807	HP-S	0	6	0	0	0	0	0	0	0
(ﾟ﹏ﾟ)	3	0.9853067398071289	LN	0	0	0	0	0	0	3	0	0
(O_O)	8	0.9852893948554993	HB	0	0	0	0	0	1	0	0	7
(o^_^o)	8	0.9849343299865723	NB	1	0	1	1	0	0	0	5	0
(⌒_⌒;)	3	0.9847248196601868	HP-D	2	0	0	1	0	0	0	0	0
(o^^o)	11	0.9843666553497314	NB	1	0	3	0	0	0	0	7	0
(ﾟ∇ﾟ)	4	0.9838954210281372	HP-S	0	3	0	1	0	0	0	0	0
(ˆ‿ˆԅ)	6	0.9835445880889893	HP-S	0	6	0	0	0	0	0	0	0
(>﹏<)	8	0.9825966358184814	LN	0	0	0	1	0	0	7	0	0
(⊙´□`⊙)	3	0.9805177450180054	NP	0	0	0	3	0	0	0	0	0
(╥﹏╥)	5	0.9797906279563904	LN	0	0	0	0	0	1	4	0	0
(ಥ﹏ಥ)	29	0.97843337059021	LN	1	0	2	1	1	0	20	2	2
(o_o)	41	0.9780476093292236	NB	3	0	0	2	0	0	4	22	10
:(	5	0.9778468012809753	HN-S	0	0	0	0	0	2	2	0	1
(｡-∀-)	3	0.9769224524497986	LN	0	0	0	0	0	1	2	0	0
(^o^)	8	0.9766626954078674	HP-S	1	3	0	3	0	0	0	1	0
(๑・́₃・̀๑)	3	0.9766004085540771	LN	0	0	1	0	0	0	2	0	0
(°◇°)	6	0.9762388467788696	LP	0	0	3	0	0	0	0	3	0
ಠ_ಠ	17	0.9761651754379272	HP-D	10	0	0	0	2	0	0	1	4
(ﾉ^_^)	4	0.9756007194519043	NP	1	0	1	2	0	0	0	0	0
(⌯˃᷄	8	0.9753884077072144	LN	0	0	1	3	0	1	3	0	0
(⌒‿⌒)	8	0.9753037095069885	HP-D	4	0	1	2	0	0	0	1	0
(´・ω・`)	12	0.9746385216712952	LN	0	0	0	0	0	3	8	0	1
(ｏ・ω・)	3	0.9745938181877136	LP	0	0	1	1	0	0	0	1	0
(｡・́︿・̀｡)	9	0.9745481610298157	LN	1	0	0	2	0	0	3	0	3
(´▽`)	5	0.9738900065422058	HP-S	2	2	0	0	0	0	0	1	0
(`⌒´メ)	5	0.9736136198043823	HP-S	0	3	0	2	0	0	0	0	0
(^^)	3	0.9735305905342102	LP	0	0	2	1	0	0	0	0	0
(^_^)	47	0.9723412990570068	NB	1	4	4	18	0	0	0	20	0
(´∇`)	5	0.9723005890846252	NP	0	1	0	2	0	0	0	1	1
(⌐■_■)	16	0.9721119999885559	NP	5	0	0	6	0	0	0	4	1
(˶‾᷄⁻̫‾�	4	0.9718930721282959	NP	0	0	1	2	0	0	0	1	0
(^-^)	18	0.9718924760818481	LP	0	0	13	0	0	0	2	3	0
ಥ﹏ಥ	161	0.9716072678565979	HN-D	10	1	1	3	54	53	17	2	20
(^▽^)	6	0.9715833067893982	NB	0	1	0	2	0	0	0	3	0
ಥ_ಥ	343	0.9711634516716003	HN-D	49	3	8	3	101	76	19	6	78
(≧▽≦)	4	0.9707440733909607	HP-S	0	2	0	2	0	0	0	0	0
^_^	95	0.9703211188316345	LP	15	0	37	17	0	0	0	26	0
(^‿^)	14	0.9698348641395569	LP	0	0	8	4	0	0	0	2	0
(⌒▽⌒)	44	0.9694612622261047	NP	7	0	7	18	0	0	2	10	0
(°ー°〃)	4	0.9690920114517212	LN	0	0	1	0	0	0	2	0	1
(◕‿◕)	9	0.968317985534668	HP-S	1	4	1	3	0	0	0	0	0
(๑・̀ㅁ・́๑)	25	0.9664158821105957	LP	4	0	13	3	0	0	3	2	0
