first_word	n	mean_cos_to_other_face_means	distinctiveness	median_within_consistency	classifier_recall	dominant_quadrant
ಥ_ಥ	343	-0.35901233553886414	1.3590123653411865	0.9711634516716003	0.8862973760932945	HN
ಥ﹏ಥ	161	-0.34156617522239685	1.3415662050247192	0.9716072678565979	0.15527950310559005	HN
^_^	95	0.2412853240966797	0.7587146759033203	0.9703211188316345	0.6105263157894737	LP
(^_^)	47	0.2660340666770935	0.7339659333229065	0.9723412990570068	0.19148936170212766	NB
(⌒▽⌒)	44	0.2589481770992279	0.7410517930984497	0.9694612622261047	0.18181818181818182	NP
(o_o)	41	0.0683884397149086	0.9316115379333496	0.9780476093292236	0.14634146341463414	NB
(ಥ﹏ಥ)	29	-0.10615948587656021	1.1061594486236572	0.97843337059021	0.10344827586206896	LN
(๑・̀ㅁ・́๑)	25	0.22824561595916748	0.7717543840408325	0.9664158821105957	0.0	LP
(^-^)	18	0.1962672919034958	0.803732693195343	0.9718924760818481	0.1111111111111111	LP
ಠ_ಠ	17	-0.140130877494812	1.140130877494812	0.9761651754379272	0.0	HP
(⌐■_■)	16	0.22537057101726532	0.7746294140815735	0.9721119999885559	0.0	NP
(^‿^)	14	0.24351178109645844	0.7564882040023804	0.9698348641395569	0.0	LP
(´・ω・`)	12	-0.10872246325016022	1.108722448348999	0.9746385216712952	0.0	LN
(o^^o)	11	0.17851075530052185	0.8214892148971558	0.9843666553497314	0.18181818181818182	NB
(T-T)	10	-0.15049970149993896	1.150499701499939	0.9904963374137878	0.0	LN
(｡・́︿・̀｡)	9	0.04782698303461075	0.9521729946136475	0.9745481610298157	0.0	LN
(◕‿◕)	9	0.17979425191879272	0.8202057480812073	0.968317985534668	0.0	HP
♥‿♥	9	0.1757795363664627	0.8242204785346985	0.9892998933792114	0.5555555555555556	HP
(O_O)	8	-0.09225814044475555	1.092258095741272	0.9852893948554993	0.0	HB
(o^_^o)	8	0.1858864426612854	0.8141135573387146	0.9849343299865723	0.0	NB
(⌒‿⌒)	8	0.2034110575914383	0.7965889573097229	0.9753037095069885	0.0	HP
(^o^)	8	0.2413759082555771	0.7586240768432617	0.9766626954078674	0.25	HP
(⌯˃᷄	8	0.13733398914337158	0.8626660108566284	0.9753884077072144	0.0	NP
(>﹏<)	8	-0.06072477251291275	1.0607247352600098	0.9825966358184814	0.0	LN
(`⌒´)	7	0.1812795251607895	0.8187204599380493	0.9957546591758728	0.0	HP
(ˆ‿ˆԅ)	6	0.19589386880397797	0.8041061162948608	0.9835445880889893	0.16666666666666666	HP
(°◇°)	6	0.21935556828975677	0.780644416809082	0.9762388467788696	0.0	LP
(^▽^)	6	0.2538028061389923	0.7461972236633301	0.9715833067893982	0.0	NB
♥♥♥	6	0.17516155540943146	0.8248384594917297	0.9868069291114807	0.16666666666666666	HP
(╥﹏╥)	5	-0.0990791991353035	1.0990792512893677	0.9797906279563904	0.0	LN
:(	5	-0.2076079398393631	1.2076079845428467	0.9778468012809753	0.0	HN
(´▽`)	5	0.2239348590373993	0.7760651111602783	0.9738900065422058	0.0	HP
(´∇`)	5	0.23376408219337463	0.7662359476089478	0.9723005890846252	0.0	NP
(`⌒´メ)	5	0.1757081151008606	0.8242918848991394	0.9736136198043823	0.0	HP
