model	kind	factor	given	eta2	n_groups	n_rows
gemma	marginal	face		0.48776	84	1440
gemma	marginal	prompt_id		1.00000	180	1440
gemma	marginal	quadrant_split		0.55076	9	1440
gemma	marginal	seed		0.00000	8	1440
gemma	conditional	face	prompt_id		84	1440
gemma	conditional	quadrant_split	prompt_id		9	1440
gemma	conditional	face	quadrant_split	0.13441	84	1440
qwen	marginal	face		0.48866	179	1419
qwen	marginal	prompt_id		1.00000	180	1419
qwen	marginal	quadrant_split		0.56334	9	1419
qwen	marginal	seed		0.00009	8	1419
qwen	conditional	face	prompt_id		179	1419
qwen	conditional	quadrant_split	prompt_id		9	1419
qwen	conditional	face	quadrant_split	0.17566	179	1419
ministral	marginal	face		0.16849	111	1359
ministral	marginal	prompt_id		1.00000	180	1359
ministral	marginal	quadrant_split		0.35440	9	1359
ministral	marginal	seed		0.00110	8	1359
ministral	conditional	face	prompt_id		111	1359
ministral	conditional	quadrant_split	prompt_id		9	1359
ministral	conditional	face	quadrant_split	0.10467	111	1359
gpt_oss_20b	marginal	face		0.17681	164	1439
gpt_oss_20b	marginal	prompt_id		1.00000	180	1439
gpt_oss_20b	marginal	quadrant_split		0.27531	9	1439
gpt_oss_20b	marginal	seed		0.00000	8	1439
gpt_oss_20b	conditional	face	prompt_id		164	1439
gpt_oss_20b	conditional	quadrant_split	prompt_id		9	1439
gpt_oss_20b	conditional	face	quadrant_split	0.13596	164	1439
granite	marginal	face		0.36823	129	1156
granite	marginal	prompt_id		1.00000	178	1156
granite	marginal	quadrant_split		0.47862	9	1156
granite	marginal	seed		0.00229	8	1156
granite	conditional	face	prompt_id		129	1156
granite	conditional	quadrant_split	prompt_id		9	1156
granite	conditional	face	quadrant_split	0.16495	129	1156
